client_id,sku,install_date,status,config_json
14,"AC000137","2023-07-01","activo","{""metodo"": ""UV-C"", ""montaje"": ""Conducto"", ""vida_util_lampara_h"": 9000, ""indicador_estado_lampara"": true}"
15,"AC000102","2024-02-10","activo","{""capacidad_l"": 100, ""potencia_kw"": 2.0, ""montaje"": ""Suelo"", ""termostato_seguridad"": true}"
16,"AC000055","2023-09-05","activo","{""fase"": ""Trifasico"", ""potencia_kw"": 10, ""monitorizacion_remota"": true, ""curva_MPPT"": ""Múltiple""}"
17,"AC000089","2024-01-20","activo","{""aplicacion"": ""Control Fan Coil"", ""ubicacion"": ""Habitación 3"", ""control_ventilador"": ""3 Velocidades"", ""protocolo"": ""Modbus""}"
18,"AC000040","2021-05-22","activo","{""material"": ""Aluminio"", ""dimensiones_mm"": ""500x800"", ""potencia_calor_w"": 1000, ""respuesta_termica"": ""Rápida""}"
19,"AC000116","2022-08-14","activo","{""tipo"": ""Válvula Antirretorno"", ""funcion"": ""Flujo Único"", ""tamano_conexion"": ""3/4 pulgada"", ""material_interno"": ""Acero Inoxidable""}"
20,"AC000067","2023-09-05","activo","{""tipo"": ""Seccionador DC"", ""corriente_a"": 32, ""polos"": 4, ""ubicacion"": ""Caja Combinador Solar""}"
21,"AC000006","2023-06-21","retirado","{""ubicacion"": ""Dormitorio Pequeño"", ""btu"": 8000, ""estado"": ""Retirado del servicio"", ""fecha_retiro"": ""2024-07-01"", ""motivo_retiro"": ""Sustitución por Split""}"
22,"AC000037","2023-04-11","activo","{""tipo_combustible"": ""Pellets"", ""potencia_kw"": 25, ""capacidad_tolva_kg"": 150, ""limpieza_quemador"": ""Automática""}"
23,"AC000077","2024-01-20","activo","{""ubicacion"": ""Bajo Fregadero Cocina"", ""metodo_deteccion"": ""Conductividad"", ""tipo_alarma"": [""Acústica"", ""Inalámbrica""], ""conectividad"": ""Wi-Fi""}"
24,"AC000129","2023-07-01","activo","{""tipo"": ""Compuerta Antirretorno"", ""tamano_conducto_mm"": 200, ""aplicacion"": ""Conducto Extracción""}"
25,"AC000109","2021-09-01","activo","{""tipo"": ""Vaso de Expansión"", ""volumen_l"": 18, ""aplicacion"": ""Calefacción"", ""presion_precarga_bar"": 1.5}"
26,"AC000052","2023-08-20","activo","{""tipo"": ""Policristalino"", ""potencia_w"": 350, ""dimensiones_mm"": ""1956x992x40""}"
27,"AC000009","2022-03-17","activo","{""tipo_sistema"": ""Multi-Zona Sin Ductos"", ""btu_exterior"": 27000, ""num_zonas"": 3, ""ubicaciones_interiores"": [""Dormitorio 1"", ""Dormitorio 2"", ""Estudio""]}"
28,"AC000093","2024-01-20","activo","{""parametro"": ""Presión Diferencial"", ""rango_pa"": ""0-1000"", ""salida"": ""0-10V"", ""conexion_tubos"": true}"
29,"AC000045","2023-05-15","activo","{""tipo"": ""Calentador Eléctrico Instantáneo"", ""potencia_kw"": 9, ""caudal_lpm"": 5, ""protecciones"": [""Sobrecalentamiento"", ""Presión""]}"
30,"AC000138","2023-07-01","activo","{""aplicacion"": ""Campana Cocina"", ""tipo"": ""Extractor"", ""flujo_aire_m3h"": 600, ""nivel_ruido_db"": 65}"
31,"AC000061","2023-09-05","activo","{""tipo"": ""Cable Solar"", ""tamano_mm2"": 4, ""color"": ""Rojo"", ""longitud_m"": 100, ""resistente_uv"": true}"
32,"AC000014","2024-03-15","activo","{""ubicacion"": ""Salón Secundario"", ""tecnologia"": ""Inverter"", ""btu"": 12000, ""control_precision_temp_c"": 0.5}"
33,"AC000110","2022-08-14","activo","{""tipo"": ""Vaso de Expansión"", ""volumen_l"": 24, ""aplicacion"": ""Agua Potable"", ""certificado"": ""WRAS""}"
34,"AC000084","2024-01-20","activo","{""sistema"": ""KNX"", ""tipo"": ""Fuente Alimentacion"", ""corriente_ma"": 640, ""ubicacion"": ""Cuadro Distribucion KNX""}"
35,"AC000034","2021-05-22","activo","{""aplicacion"": ""Baño Principal"", ""material"": ""Acero Cromado"", ""dimensiones_mm"": ""500x1200"", ""uso"": ""Toallero Térmico""}"
36,"AC000123","2023-07-01","activo","{""tipo"": ""Ventilador Axial"", ""diametro_mm"": 200, ""flujo_aire_m3h"": 500, ""montaje"": ""Conducto""}"
37,"AC000058","2023-09-05","activo","{""tipo"": ""Regulador de Carga"", ""tecnologia"": ""MPPT"", ""corriente_a"": 60, ""voltajes_soportados_v"": [12, 24, 48]}"
38,"AC000099","2024-01-20","activo","{""tipo"": ""Actuador Válvula"", ""tipo_valvula_control"": ""2/3 Vías"", ""tamano_conexion"": ""DN15"", ""control"": ""On/Off""}"
39,"AC000048","2022-10-19","activo","{""tipo"": ""Acumulador Hidrónico"", ""capacidad_l"": 500, ""aplicacion"": ""Sistema Solar Térmico""}"
40,"AC000145","2023-02-28","activo","{""tipo"": ""Aislamiento Tubería"", ""material"": ""Espuma"", ""diametro_tuberia_mm"": 22, ""longitud_instalada_m"": 30}"
41,"AC000019","2023-05-30","activo","{""ubicacion"": ""Estudio"", ""parte_de_sistema"": ""AC000008"", ""tipo"": ""Unidad Interior Mini-Split"", ""capacidad_btu"": 18000}"
42,"AC000074","2024-01-20","activo","{""tipo"": ""Detector de Humo"", ""conexion"": ""Inalámbrico"", ""alimentacion"": ""Batería"", ""ubicacion"": ""Hall Planta Alta""}"
43,"AC000130","2023-07-01","activo","{""tipo"": ""Rejilla de Aire"", ""aplicacion"": ""Impulsión"", ""tamano_mm"": ""300x300"", ""material"": ""Aluminio""}"
44,"AC000113","2022-08-14","activo","{""tipo"": ""Válvula Mezcladora Termostática"", ""vias"": 3, ""tamano_conexion"": ""3/4 pulgada"", ""temperatura_salida_ajustada_c"": 50.0}"
45,"AC000064","2023-09-05","activo","{""marca"": ""Solar Edge"", ""tipo"": ""Optimizador"", ""serie_compatible"": ""P405"", ""instalado_en_panel"": ""AC000051-ID5""}"
46,"AC000007","2023-06-21","activo","{""ubicacion"": ""Oficina"", ""tipo"": ""Portátil"", ""btu"": 10000, ""caracteristicas"": [""Ruedas"", ""Mando Distancia"", ""Kit Ventana""]}"
1,"AC000029","2021-10-01","activo","{""tipo"": ""Caldera Eléctrica"", ""potencia_kw"": 12, ""alimentacion"": ""400V Trifásico"", ""eficiencia_pct"": 99.0}"
2,"AC000079","2024-01-20","activo","{""tipo"": ""Sensor de Caudal"", ""medio"": ""Agua"", ""tamano_conexion"": ""1/2 pulgada"", ""salida"": ""Pulsos""}"
3,"AC000142","2023-02-28","activo","{""material"": ""PEX"", ""diametro_mm"": 20, ""longitud_instalada_m"": 150, ""aplicacion"": ""Fontanería Agua Fria/Caliente""}"
4,"AC000104","2023-05-15","activo","{""tipo"": ""Calentador Gas Instantáneo"", ""caudal_lpm"": 18, ""tipo_tiro"": ""Forzado"", ""display_temperatura"": true}"
5,"AC000068","2023-09-05","activo","{""tipo"": ""Interruptor Seccionador CA"", ""corriente_a"": 40, ""polos"": 2, ""ubicacion"": ""Junto a Inversor""}"
6,"AC000017","2024-03-15","activo","{""ubicacion"": ""Estudio"", ""parte_de_sistema"": ""AC000008"", ""tipo"": ""Unidad Interior Mini-Split"", ""capacidad_btu"": 9000}"
7,"AC000094","2024-01-30","activo","{""tipo"": ""Interruptor de Caudal"", ""medio"": ""Aire"", ""aplicacion"": ""Conducto Ventilacion"", ""salida"": ""Contacto Seco""}"
8,"AC000049","2021-05-22","activo","{""tipo"": ""Bomba de Calor"", ""aplicacion"": ""Sistemas Baja Temperatura (Suelo Radiante)"", ""potencia_kw"": 8, ""SCOP"": 5.0}"
9,"AC000124","2023-07-01","activo","{""tipo"": ""Ventilador Centrífugo"", ""diseno"": ""En Línea"", ""tamano_conducto_mm"": 150, ""flujo_aire_m3h"": 400}"
10,"AC000115","2022-08-14","activo","{""tipo"": ""Válvula de Compuerta"", ""funcion"": ""Aislamiento"", ""tamano_conexion"": ""1 pulgada"", ""material"": ""Latón"", ""paso"": ""Total""}"
11,"AC000050","2023-08-20","activo","{""tipo"": ""Colector Solar Térmico"", ""diseno"": ""Placa Plana"", ""area_m2"": 2.5, ""aplicacion"": ""ACS"", ""numero_instalado"": 2}"
12,"AC000008","2022-03-17","activo","{""tipo_sistema"": ""Multi-Zona Sin Ductos"", ""ubicacion"": ""Exterior - Fachada Trasera"", ""SEER"": 19.0}"
13,"AC000081","2024-01-20","activo","{""tipo"": ""Sensor de Nivel"", ""metodo"": ""Ultrasónico"", ""aplicacion"": ""Depósito Agua Pluvial"", ""rango_max_m"": 5}"
14,"AC000139","2023-07-01","activo","{""tipo"": ""Extractor de Baño"", ""tamano_conducto_mm"": 100, ""flujo_aire_m3h"": 100, ""nivel_ruido_db"": 40}"
15,"AC000105","2021-09-01","activo","{""tipo"": ""Bomba Circuladora"", ""aplicacion"": ""Sistema Calefacción"", ""caudal_max_m3h"": 3.0, ""altura_manometrica_max_m"": 6}"
16,"AC000054","2023-09-05","activo","{""ubicacion"": ""Cuarto de Servicios - Pared"", ""garantia_años"": 10, ""certificacion"": ""CE""}"
17,"AC000095","2024-01-20","activo","{""tipo"": ""Termostato"", ""aplicacion"": ""Protección Antihielo Tuberías"", ""punto_ajuste_c"": 5.0, ""reiniciο"": ""Automático""}"
18,"AC000041","2021-05-22","activo","{""tipo_combustible"": ""Leña"", ""potencia_kw"": 20, ""eficiencia_pct"": 85.0, ""carga"": ""Manual""}"
19,"AC000117","2022-08-14","activo","{""tipo"": ""Separador de Suciedad"", ""tamano_conexion"": ""1 pulgada"", ""funcion"": ""Filtración"", ""limpieza"": ""Manual""}"
20,"AC000069","2023-09-05","activo","{""tipo"": ""Malla"", ""aplicacion"": ""Protección Aves (Paneles Solares)"", ""longitud_m"": 30, ""material"": ""HDPE""}"
21,"AC000003","2022-04-18","activo","{""ubicacion"": ""Salón Pequeño"", ""btu"": 18000, ""SEER"": 17.0, ""filtro"": ""Lavable""}"
22,"AC000038","2022-06-14","activo","{""tipo"": ""Bomba de Calor Aire-Agua"", ""potencia_kw"": 12, ""aplicacion"": ""Calefacción y ACS"", ""compatible_smart_grid"": true}"
23,"AC000082","2024-01-20","activo","{""tipo"": ""Sensor de Luz"", ""parametro"": ""Intensidad Lumínica"", ""unidad"": ""Lux"", ""salida"": ""0-10V""}"
24,"AC000135","2023-07-01","activo","{""tipo"": ""Humidificador"", ""metodo"": ""Evaporativo"", ""area_cubierta_sqft"": 500, ""tamano_deposito_l"": 5}"
25,"AC000111","2022-08-14","activo","{""tipo"": ""Válvula Reductora de Presión"", ""tamano_conexion"": ""1 pulgada"", ""presion_ajuste_bar"": 3.0, ""material"": ""Latón Niquelado""}"
26,"AC000057","2023-09-05","activo","{""ubicacion"": ""Cuarto Baterías"", ""tecnologia"": ""Litio-ion"", ""capacidad_kwh"": 10, ""sistema_gestion_bateria"": ""Integrado""}"
27,"AC000001","2024-03-10","activo","{""ubicacion"": ""Cuarto de Televisión"", ""btu"": 9000, ""SEER"": 18.5, ""nivel_ruido_db"": 25}"
28,"AC000026","2021-09-01","activo","{""ubicacion"": ""Cuarto Caldera"", ""tipo"": ""Mixta Condensación"", ""control_climatica"": true, ""conexion_termostato"": ""OpenTherm""}"
29,"AC000071","2023-01-25","activo","{""marca"": ""SmartHomeX"", ""integracion_con"": [""Alexa"", ""Google Home"", ""Apple HomeKit""], ""control_app_movil"": true}"
30,"AC000133","2024-01-15","activo","{""conectividad"": ""App Móvil"", ""indicador_calidad_aire"": true, ""filtracion_compuesta"": true}"
31,"AC000101","2024-02-10","activo","{""garantia_años"": 3, ""resistencia"": ""Ceramica"", ""clase_eficiencia"": ""B""}"
32,"AC000051","2023-08-20","activo","{""garantia_producto_años"": 15, ""garantia_produccion_años"": 25, ""eficiencia_pct"": 22.0}"
33,"AC000088","2023-03-05","activo","{""par_nm"": 5, ""alimentacion_v"": ""24V AC/DC"", ""retorno"": ""Muelle""}"
34,"AC000112","2020-11-11","activo","{""certificado"": ""CE"", ""material_cuerpo"": ""Latón"", ""presion_max_operacion_bar"": 10}"
35,"AC000005","2023-06-21","activo","{""ubicacion"": ""Dormitorio"", ""eficiencia_energetica"": ""A"", ""control"": ""Mecanico"", ""facil_instalacion"": true}"
36,"AC000042","2022-01-20","activo","{""aplicacion"": ""Edificio Comercial"", ""voltaje"": ""380V 3-Phase"", ""control"": ""Centralizado BMS""}"
37,"AC000078","2024-01-20","activo","{""precision_humedad_pct"": ""+-3%"", ""salida"": ""RS485"", ""parametro"": ""Temperatura y Humedad""}"
38,"AC000121","2023-07-01","activo","{""montaje"": ""Pared"", ""bypass_integrado"": true, ""ventiladores"": ""EC""}"
39,"AC000090","2024-01-30","activo","{""clase_precision"": 1, ""certificado_mid"": true, ""tipo_montaje"": ""Carril DIN""}"
40,"AC000044","2022-08-14","activo","{""material_interior"": ""Acero Vitrificado"", ""anodo"": ""Magnesio"", ""presion_max_bar"": 8}"
41,"AC000063","2023-09-05","activo","{""grado_proteccion"": ""IP67"", ""resistente_uv"": true}"
42,"AC000015","2021-07-10","activo","{""funcion_adicional"": ""Deshumidificación"", ""limpieza_automatica"": true, ""filtro"": ""Anti-bacterias""}"
43,"AC000027","2023-04-11","activo","{""display"": ""Digital"", ""conexion_termostato"": ""OpenTherm/Relé"", ""bombas_integradas"": true}"
44,"AC000075","2024-01-20","activo","{""angulo_deteccion_grados"": 110, ""altura_montaje_optima_m"": 2.5, ""tipo"": ""PIR""}"
45,"AC000057","2023-09-05","activo","{""arquitectura"": ""Modular"", ""comunicacion"": ""CAN Bus"", ""vida_util_años"": 15}"
46,"AC000105","2021-09-01","activo","{""proteccion_funcionamiento_seco"": true, ""cuerpo_bomba"": ""Bronce"", ""clase_eficiencia_energetica"": ""A""}"
1,"AC000010","2022-07-07","activo","{""sistema_filtrado"": ""MERV 8"", ""retorno_aire"": ""Lateral"", ""garantia_compresor_años"": 5}"
2,"AC000098","2024-01-20","activo","{""altura_montaje_max_m"": 4, ""sensibilidad_ajustable"": true, ""salida"": ""Contacto Seco""}"
3,"AC000046","2022-10-19","activo","{""dimensiones_mm"": ""600x600x1800"", ""resistencia_apoyo_electrico"": ""Integrada 2kW"", ""tiempo_calentamiento_std_h"": 4}"
4,"AC000035","2023-02-28","activo","{""barrera_oxigeno"": true, ""aislamiento_termico"": ""Bueno""}"
5,"AC000059","2023-09-05","activo","{""peso_soportado_kg_m2"": 200, ""resistente_viento"": true, ""compatible_tejas"": [""Ceramica"", ""Hormigon""]}"
6,"AC000006","2023-06-21","retirado","{""ubicacion"": ""Oficina Pequeña"", ""estado"": ""Retirado - En almacén cliente"", ""fecha_retiro"": ""2024-07-01"", ""motivo"": ""Obsoleto""}"
7,"AC000037","2023-04-11","activo","{""potencia_min_kw"": 7, ""sistema_alimentacion"": ""Tornillo sinfín"", ""conexion_silo"": ""Opcional""}"
8,"AC000122","2023-07-01","activo","{""control_remoto"": ""Opcional"", ""ventiladores"": ""EC"", ""bypass"": ""Manual/Automático""}"
9,"AC000114","2022-08-14","activo","{""presion_max_bar"": 16, ""certificado_gas"": true, ""material_bola"": ""Latón Cromado""}"
10,"AC000053","2023-08-20","activo","{""potencia_nominal_w"": 100, ""dimensiones_mm"": ""1000x500x3"", ""adhesivo"": true}"
11,"AC000004","2022-04-18","activo","{""tipo_filtros_recomendado"": ""MERV 10"", ""control_individual_zona"": ""Opcional (con accesorios)""}"
12,"AC000076","2024-01-20","activo","{""duracion_bateria_estimada_años"": 2, ""indicador_bateria_baja"": true, ""supervision"": ""Vía App""}"
13,"AC000137","2023-07-01","activo","{""seguridad_apagado_puerta"": true, ""potencia_lampara_w"": 16, ""tipo_esterilizacion"": ""UV-C""}"
14,"AC000102","2024-02-10","activo","{""valvula_seguridad"": true, ""proteccion_electrica"": ""IP24""}"
15,"AC000055","2023-09-05","activo","{""topologia"": ""String"", ""monitorizacion_individual_panel"": ""Opcional (con optimizadores)"", ""garantia_años"": 10}"
16,"AC000089","2024-01-20","activo","{""salidas_control"": [""Ventilador"", ""Válvula Calor"", ""Válvula Frio""], ""comunicacion_bus"": ""Modbus""}"
17,"AC000040","2021-05-22","activo","{""baja_inercia_termica"": true, ""bajo_contenido_agua"": true, ""acabado"": ""Blanco RAL 9016""}"
18,"AC000116","2022-08-14","activo","{""montaje"": ""Horizontal o Vertical"", ""material_disco"": ""Polímero""}"
19,"AC000067","2023-09-05","activo","{""montaje"": ""Panel"", ""corriente_dc_max_a"": 32, ""normativa"": ""IEC60947-3""}"
20,"AC000007","2023-06-21","activo","{""mando_distancia"": true, ""kit_escape_ventana"": true, ""panel_control"": ""Táctil""}"
21,"AC000029","2021-10-01","activo","{""conexion_electrica"": ""Trifasica"", ""seguridad_sobrecalentamiento"": true, ""control_temperatura"": ""Digital""}"
22,"AC000079","2024-01-20","activo","{""diametro_nominal"": ""DN15"", ""presion_max_bar"": 10, ""precision_pct"": 1}"
23,"AC000142","2023-02-28","activo","{""certificado_agua_potable"": true, ""uso_principal"": ""Fontanería"", ""radio_curvatura_min_mm"": 100}"
24,"AC000104","2023-05-15","activo","{""modulacion_llama"": true, ""encendido"": ""Electrónico"", ""tipo_gas"": ""Natural""}"
25,"AC000068","2023-09-05","activo","{""grado_ip"": ""IP65"", ""corriente_max_a"": 40, ""tipo_conexión"": ""Rosca""}"
26,"AC000017","2024-03-15","activo","{""diseño"": ""Compacto"", ""funcion_silent"": true, ""compatibilidad_marca"": ""Universal (ciertos modelos)""}"
27,"AC000094","2024-01-30","activo","{""presion_min_operacion_pa"": 50, ""temperatura_max_c"": 80, ""medio_detectado"": ""Aire""}"
