sku,name,description,price,spec_json
"AC000041","Caldera de Leña 20kW","Caldera tradicional de leña.",1200.00,"{""PotenciaSalida_kW"": 20, ""TipoCombustible"": ""Leña"", ""Eficiencia"": 85.0}"
"AC000042","Bomba de Calor Aerotérmica Comercial 50kW","Bomba de calor a gran escala para uso comercial.",15000.00,"{""PotenciaSalida_kW"": 50, ""SCOP"": 4.2, ""Aplicación"": ""Calefacción/Refrigeración Comercial""}"
"AC000043","Radiador de Hierro Fundido 700x500mm","Radiador clásico de hierro fundido.",300.00,"{""Tamaño_mm"": ""700x500"", ""Material"": ""Hierro Fundido"", ""PotenciaCalor_W"": 800}"
"AC000044","Acumulador de ACS 200L","Cilindro aislado para agua caliente sanitaria.",400.00,"{""Capacidad_L"": 200, ""Tipo"": ""Interacumulador Indirecto"", ""Material"": ""Acero""}"
"AC000045","Calentador de Agua Eléctrico Instantáneo 9kW","Calentador eléctrico instantáneo sin depósito.",250.00,"{""PotenciaSalida_kW"": 9, ""Tipo"": ""Calentador Eléctrico Instantáneo"", ""Caudal_LPM"": 5}"
"AC000046","Termo Bomba de Calor ACS 250L","Bomba de calor aerotérmica para agua caliente.",1200.00,"{""Capacidad_L"": 250, ""Tipo"": ""Termo Bomba de Calor"", ""COP"": 3.0}"
"AC000047","Radiador Zócalo 1m","Calefacción hidrónica integrada en el zócalo.",90.00,"{""Longitud_m"": 1, ""Tipo"": ""Radiador Zócalo"", ""PotenciaCalor_W/m"": 300}"
"AC000048","Acumulador Hidrónico 500L","Depósito para almacenar calor en sistemas hidrónicos.",600.00,"{""Capacidad_L"": 500, ""Aplicación"": ""Acumulador Hidrónico""}"
"AC000049","Bomba de Calor Baja Temperatura 8kW","Bomba de calor optimizada para sistemas de baja temperatura.",3800.00,"{""PotenciaSalida_kW"": 8, ""SCOP"": 5.0, ""RangoTemp"": ""Baja Temp""}"
"AC000050","Colector Solar Térmico (Placa Plana)","Colector de placa plana para agua caliente solar.",450.00,"{""Tipo"": ""Placa Plana"", ""Área_sqm"": 2.5, ""Aplicación"": ""Solar Térmica ACS""}"
"AC000051","Panel Solar Monocristalino 400W","Panel solar de alta eficiencia.",180.00,"{""Tipo"": ""Monocristalino"", ""Potencia_W"": 400, ""Eficiencia"": 22.0, ""Dimensiones_mm"": ""1755x1038x35""}"
"AC000052","Panel Solar Policristalino 350W","Panel solar estándar.",150.00,"{""Tipo"": ""Policristalino"", ""Potencia_W"": 350, ""Eficiencia"": 19.5, ""Dimensiones_mm"": ""1956x992x40""}"
"AC000053","Panel Solar Flexible 100W","Panel ligero y flexible.",120.00,"{""Tipo"": ""Flexible"", ""Potencia_W"": 100, ""Eficiencia"": 18.0, ""Peso_kg"": 2.0}"
"AC000054","Inversor Solar 5kW (Monofásico)","Inversor para sistemas solares residenciales.",800.00,"{""Potencia_kW"": 5, ""Fase"": ""Monofásico"", ""Eficiencia"": 98.0, ""Tipo"": ""Inversor String""}"
"AC000055","Inversor Solar 10kW (Trifásico)","Inversor para sistemas solares comerciales.",1500.00,"{""Potencia_kW"": 10, ""Fase"": ""Trifásico"", ""Eficiencia"": 98.5, ""Tipo"": ""Inversor String""}"
"AC000056","Inversor Solar Híbrido 6kW","Inversor con capacidad de almacenamiento en batería.",1200.00,"{""Potencia_kW"": 6, ""Tipo"": ""Híbrido"", ""CompatibilidadBatería"": ""Sí""}"
"AC000057","Batería Solar 10kWh","Batería de iones de litio para almacenamiento de energía.",4500.00,"{""Capacidad_kWh"": 10, ""Tipo"": ""Litio-ion"", ""Voltaje"": ""48V""}"
"AC000058","Regulador de Carga Solar 60A (MPPT)","Regulador para sistemas solares aislados.",200.00,"{""Corriente_A"": 60, ""Tipo"": ""MPPT"", ""Voltaje"": ""12V/24V/48V""}"
"AC000059","Kit de Montaje Solar (Tejado Inclinado)","Kit para instalar paneles en tejado de teja.",50.00,"{""Tipo"": ""Kit Montaje"", ""TipoTejado"": ""Inclinado Teja"", ""Capacidad_Paneles"": 4}"
"AC000060","Kit de Montaje Solar (Tejado Plano)","Kit para instalar paneles en tejado plano.",60.00,"{""Tipo"": ""Kit Montaje"", ""TipoTejado"": ""Plano"", ""Capacidad_Paneles"": 4}"
"AC000061","Cable Solar 4mm² (Rojo, 100m)","Cable solar resistente a UV.",80.00,"{""Tamaño_mm2"": 4, ""Color"": ""Rojo"", ""Longitud_m"": 100, ""VoltajeNominal_V"": 1000}"
"AC000062","Cable Solar 4mm² (Negro, 100m)","Cable solar resistente a UV.",80.00,"{""Tamaño_mm2"": 4, ""Color"": ""Negro"", ""Longitud_m"": 100, ""VoltajeNominal_V"": 1000}"
"AC000063","Par de Conectores MC4","Conectores estándar para paneles solares.",5.00,"{""Tipo"": ""MC4"", ""Aplicación"": ""Conexiones Solares""}"
"AC000064","Optimizador Solar Edge P405","Optimizador de potencia a nivel de módulo.",60.00,"{""Marca"": ""Solar Edge"", ""Tipo"": ""Optimizador"", ""Compatibilidad"": ""Serie P""}"
"AC000065","Teja Solar 50W","Panel solar integrado en teja.",30.00,"{""Tipo"": ""Teja Solar"", ""Potencia_W"": 50, ""Color"": ""Negro""}"
"AC000066","Sistema de Montaje en Suelo Solar (10 Paneles)","Estructura para montar paneles en el suelo.",400.00,"{""Tipo"": ""Montaje Suelo"", ""Capacidad_Paneles"": 10}"
"AC000067","Interruptor Seccionador CC Solar 32A","Interruptor de seguridad para circuitos solares de CC.",35.00,"{""Tipo"": ""Interruptor Seccionador CC"", ""Corriente_A"": 32, ""Polos"": 4}"
"AC000068","Interruptor Seccionador CA Solar 40A","Interruptor de seguridad para circuitos solares de CA.",25.00,"{""Tipo"": ""Interruptor Seccionador CA"", ""Corriente_A"": 40, ""Polos"": 2}"
"AC000069","Malla Protección Aves (30m)","Malla para evitar que las aves aniden bajo los paneles.",40.00,"{""Tipo"": ""Accesorio"", ""Aplicación"": ""Protección Aves"", ""Longitud_m"": 30}"
"AC000070","Pasarela Monitorización Solar","Dispositivo para monitorizar el rendimiento del sistema solar.",150.00,"{""Tipo"": ""Monitorización"", ""Conectividad"": ""Ethernet/Wifi""}"
"AC000071","Termostato Inteligente (Programable)","Termostato con Wi-Fi para control HVAC.",180.00,"{""Tipo"": ""Termostato"", ""Conectividad"": ""Wi-Fi"", ""Características"": [""Programable"", ""Acceso Remoto"", ""Aprendizaje""]}"
"AC000072","Termostato Digital (No Programable)","Termostato digital simple.",40.00,"{""Tipo"": ""Termostato"", ""Conectividad"": ""Cableado"", ""Características"": [""Pantalla Digital""]}"
"AC000073","Detector de CO (Cableado)","Sensor de monóxido de carbono.",60.00,"{""Tipo"": ""Sensor"", ""GasDetectado"": ""CO"", ""Alimentación"": ""Cableado"", ""NivelAlarma_ppm"": 50}"
"AC000074","Detector de Humo (Inalámbrico)","Sensor de humo alimentado por batería.",35.00,"{""Tipo"": ""Sensor"", ""GasDetectado"": ""Humo"", ""Alimentación"": ""Batería"", ""Conectividad"": ""Inalámbrico""}"
"AC000075","Sensor de Movimiento (PIR)","Detector de movimiento por infrarrojos pasivo.",25.00,"{""Tipo"": ""Sensor"", ""MétodoDetección"": ""PIR"", ""Alcance_m"": 10, ""Aplicación"": ""Seguridad/Automatización""}"
"AC000076","Sensor Puerta/Ventana (Inalámbrico)","Sensor de contacto magnético.",20.00,"{""Tipo"": ""Sensor"", ""MétodoDetección"": ""Contacto Magnético"", ""Conectividad"": ""Inalámbrico""}"
"AC000077","Sensor de Fugas de Agua","Sensor para detectar presencia de agua.",45.00,"{""Tipo"": ""Sensor"", ""MétodoDetección"": ""Conductividad"", ""TipoAlarma"": ""Acústica/Inalámbrica""}"
"AC000078","Sensor de Temperatura y Humedad","Mide la temperatura y humedad ambiente.",30.00,"{""Tipo"": ""Sensor"", ""Parámetros"": [""Temperatura"", ""Humedad""], ""Precisión_Temp"": ""±0.5°C""}"
"AC000079","Sensor de Caudal (Agua) 1/2 pulgada","Mide el caudal de agua.",50.00,"{""Tipo"": ""Sensor"", ""Medio"": ""Agua"", ""Tamaño"": ""1/2 pulgada"", ""Medición"": ""Caudal""}"
"AC000080","Sensor de Presión 0-10 bar","Mide la presión en sistemas de fluidos.",75.00,"{""Tipo"": ""Sensor"", ""Parámetro"": ""Presión"", ""Rango_bar"": ""0-10"", ""Salida"": ""4-20mA""}"
"AC000081","Sensor de Nivel (Ultrasónico)","Mide el nivel de líquido en un depósito.",150.00,"{""Tipo"": ""Sensor Nivel"", ""Método"": ""Ultrasónico"", ""Alcance_m"": 5, ""Aplicación"": ""Nivel Depósito""}"
"AC000082","Sensor de Luz (Luxómetro)","Mide la intensidad de la luz ambiental.",40.00,"{""Tipo"": ""Sensor"", ""Parámetro"": ""Intensidad Lumínica"", ""Unidad"": ""Lux""}"
"AC000083","Pasarela Modbus","Convertidor de protocolo para automatización de edificios.",300.00,"{""Tipo"": ""Pasarela"", ""Protocolos"": [""Modbus RTU"", ""Modbus TCP""], ""Conectividad"": ""RS485/Ethernet""}"
"AC000084","Fuente de Alimentación KNX 640mA","Fuente de alimentación para sistemas KNX.",120.00,"{""Tipo"": ""Fuente Alimentación"", ""Sistema"": ""KNX"", ""Corriente_mA"": 640}"
"AC000085","Pasarela DALI (64 Dispositivos)","Interfaz para control de iluminación DALI.",250.00,"{""Tipo"": ""Pasarela"", ""Protocolo"": ""DALI"", ""Capacidad_Dispositivos"": 64}"
"AC000086","Router BACnet","Enruta mensajes entre redes BACnet.",800.00,"{""Tipo"": ""Router"", ""Protocolo"": ""BACnet"", ""Interfaces"": [""IP"", ""MSTP""]}"
"AC000087","Actuador (Válvula) 2 Vías (DN20)","Actuador eléctrico para controlar una válvula de 2 vías.",90.00,"{""Tipo"": ""Actuador"", ""TipoVálvula"": ""2 Vías"", ""Tamaño"": ""DN20"", ""SeñalControl"": ""0-10V""}"
"AC000088","Actuador (Compuerta)","Actuador eléctrico para controlar compuertas de aire.",70.00,"{""Tipo"": ""Actuador"", ""Aplicación"": ""Compuerta Aire"", ""Par_Nm"": 5}"
"AC000089","Controlador de Habitación (Fan Coil)","Controlador para unidades fan coil.",110.00,"{""Tipo"": ""Controlador"", ""Aplicación"": ""Fan Coil"", ""SalidasControl"": [""Velocidad Ventilador"", ""Válvula""]}"
"AC000090","Medidor de Energía (Monofásico)","Mide el consumo de energía.",80.00,"{""Tipo"": ""Medidor Energía"", ""Fase"": ""Monofásico"", ""Medición"": ""Energía (kWh)"", ""Salida"": ""Pulso/Modbus""}"
"AC000091","Medidor de Energía (Trifásico)","Mide el consumo de energía en sistemas trifásicos.",150.00,"{""Tipo"": ""Medidor Energía"", ""Fase"": ""Trifásico"", ""Medición"": ""Energía (kWh)"", ""Salida"": ""Pulso/Modbus""}"
"AC000092","Registrador de Datos (Temperatura)","Registra datos de temperatura a lo largo del tiempo.",100.00,"{""Tipo"": ""Registrador Datos"", ""Parámetro"": ""Temperatura"", ""Almacenamiento"": ""Interno"", ""Conectividad"": ""USB""}"
"AC000093","Sensor de Presión Diferencial","Mide la diferencia de presión.",120.00,"{""Tipo"": ""Sensor"", ""Parámetro"": ""Presión Diferencial"", ""Rango_Pa"": ""0-1000""}"
"AC000094","Interruptor de Caudal (Aire)","Detecta la presencia de flujo de aire.",60.00,"{""Tipo"": ""Sensor"", ""Medio"": ""Aire"", ""Función"": ""Detección Caudal""}"
"AC000095","Termostato de Protección Antihielo","Activa la calefacción si la temperatura baja del ajuste.",30.00,"{""Tipo"": ""Termostato"", ""Aplicación"": ""Protección Antihielo"", ""PuntoAjuste"": ""5°C""}"
"AC000096","Sensor de Temperatura Exterior","Sensor para medir la temperatura externa.",40.00,"{""Tipo"": ""Sensor"", ""Aplicación"": ""Exterior"", ""Salida"": ""PT1000""}"
"AC000097","Sensor de Humedad (Montaje en Conducto)","Mide la humedad en conductos de aire.",80.00,"{""Tipo"": ""Sensor"", ""Montaje"": ""Conducto"", ""Parámetro"": ""Humedad""}"
"AC000098","Detector de Presencia (Montaje en Techo)","Detecta ocupación vía PIR/Ultrasónico.",70.00,"{""Tipo"": ""Detector Presencia"", ""MétodoDetección"": [""PIR"", ""Ultrasónico""], ""Montaje"": ""Techo""}"
"AC000099","Actuador de Válvula (On/Off, DN15)","Actuador simple On/Off para válvulas pequeñas.",55.00,"{""Tipo"": ""Actuador"", ""TipoVálvula"": ""2/3 Vías"", ""Tamaño"": ""DN15"", ""SeñalControl"": ""On/Off""}"
"AC000100","Unidad de Control Central (BMS)","Controlador principal para sistema de gestión de edificios.",5000.00,"{""Tipo"": ""Controlador BMS"", ""Protocolos"": [""BACnet"", ""Modbus"", ""KNX""], ""Capacidad_Puntos"": 500}"
"AC000101","Calentador de Agua Eléctrico 50L","Termo eléctrico pequeño de acumulación.",150.00,"{""Capacidad_L"": 50, ""TipoCombustible"": ""Eléctrico"", ""Montaje"": ""Pared""}"
"AC000102","Calentador de Agua Eléctrico 100L","Termo eléctrico mediano de acumulación.",220.00,"{""Capacidad_L"": 100, ""TipoCombustible"": ""Eléctrico"", ""Montaje"": ""Suelo""}"
"AC000103","Calentador de Agua a Gas (Instantáneo) 12L/min","Calentador de agua a gas instantáneo.",400.00,"{""Caudal_LPM"": 12, ""TipoCombustible"": ""Gas Natural"", ""Tipo"": ""Instantáneo""}"
"AC000104","Calentador de Agua a Gas (Instantáneo) 18L/min","Calentador de agua a gas instantáneo de mayor capacidad.",550.00,"{""Caudal_LPM"": 18, ""TipoCombustible"": ""Gas Natural"", ""Tipo"": ""Instantáneo""}"
"AC000105","Bomba Circuladora (Sistema Calefacción)","Bomba para circular agua en circuitos de calefacción.",120.00,"{""Aplicación"": ""Calefacción"", ""Caudal_m3/h"": 3, ""AlturaManométrica_m"": 6}"
"AC000106","Bomba Circuladora (ACS)","Bomba para circulación de agua caliente sanitaria.",90.00,"{""Aplicación"": ""Circulación ACS"", ""Caudal_LPM"": 10}"
"AC000107","Bomba Sumergible 1.5kW","Bomba para pozos o sumideros.",300.00,"{""Tipo"": ""Sumergible"", ""Potencia_kW"": 1.5, ""AlturaMáxima_m"": 50}"
"AC000108","Bomba Presurizadora","Aumenta la presión del agua en un sistema.",250.00,"{""Aplicación"": ""Aumento Presión"", ""Caudal_m3/h"": 2, ""Incremento_bar"": 2}"
"AC000109","Vaso de Expansión 18L (Calefacción)","Depósito para absorber cambios de presión en sistemas de calefacción.",50.00,"{""Volumen_L"": 18, ""Aplicación"": ""Calefacción""}"
"AC000110","Vaso de Expansión 24L (Agua Potable)","Depósito para sistemas de agua potable.",60.00,"{""Volumen_L"": 24, ""Aplicación"": ""Agua Potable""}"
"AC000111","Válvula Reductora de Presión 1 pulgada","Reduce la presión de entrada de agua.",45.00,"{""Tipo"": ""Válvula"", ""Función"": ""Reducción Presión"", ""Tamaño"": ""1 pulgada"", ""PuntoAjuste_bar"": 3}"
"AC000112","Válvula de Seguridad/Alivio 3 bar","Válvula de alivio para sistemas de calefacción.",30.00,"{""Tipo"": ""Válvula"", ""Función"": ""Seguridad/Alivio"", ""PuntoAjuste_bar"": 3}"
"AC000113","Válvula Mezcladora Termostática 3 Vías","Mezcla agua fría y caliente a una temperatura ajustada.",85.00,"{""Tipo"": ""Válvula"", ""Función"": ""Mezcla Termostática"", ""Tamaño"": ""3/4 pulgada""}"
"AC000114","Válvula Bola 1/2 pulgada","Válvula simple de encendido/apagado.",10.00,"{""Tipo"": ""Válvula"", ""Función"": ""On/Off"", ""Tamaño"": ""1/2 pulgada"", ""Material"": ""Latón""}"
"AC000115","Válvula de Compuerta 1 pulgada","Válvula de aislamiento.",15.00,"{""Tipo"": ""Válvula"", ""Función"": ""Aislamiento"", ""Tamaño"": ""1 pulgada"", ""Material"": ""Latón""}"
"AC000116","Válvula Antirretorno 3/4 pulgada","Permite el flujo en una sola dirección.",20.00,"{""Tipo"": ""Válvula"", ""Función"": ""Antirretorno"", ""Tamaño"": ""3/4 pulgada""}"
"AC000117","Separador de Suciedad 1 pulgada","Elimina suciedad y residuos de sistemas de calefacción.",70.00,"{""Tipo"": ""Accesorio"", ""Función"": ""Separación Suciedad"", ""Tamaño"": ""1 pulgada""}"
"AC000118","Separador de Aire 3/4 pulgada","Elimina aire de sistemas de calefacción.",65.00,"{""Tipo"": ""Accesorio"", ""Función"": ""Separación Aire"", ""Tamaño"": ""3/4 pulgada""}"
"AC000119","Filtro Magnético 22mm","Filtro magnético para sistemas de calefacción central.",100.00,"{""Tipo"": ""Accesorio"", ""Función"": ""Filtración Magnética"", ""TamañoTubería_mm"": 22}"
"AC000120","Acumulador 1000L (Aislado)","Gran depósito para almacenar agua o fluido caloportador.",900.00,"{""Capacidad_L"": 1000, ""Aplicación"": ""Almacenamiento"", ""Aislado"": true}"
"AC000121","Ventilador con Recuperación de Calor (VRC) 300m³/h","Recupera calor del aire de extracción.",800.00,"{""Tipo"": ""VRC"", ""FlujoAire_m3/h"": 300, ""Eficiencia"": 85.0, ""Aplicación"": ""Ventilación""}"
"AC000122","Ventilador con Recuperación de Energía (VREC) 250m³/h","Recupera calor y humedad.",950.00,"{""Tipo"": ""VREC"", ""FlujoAire_m3/h"": 250, ""EficienciaCalor"": 80.0, ""EficienciaHumedad"": 70.0}"
"AC000123","Ventilador Axial 200mm","Ventilador básico para movimiento de aire.",50.00,"{""Tipo"": ""Ventilador"", ""Diseño"": ""Axial"", ""Diámetro_mm"": 200, ""FlujoAire_m3/h"": 500}"
"AC000124","Ventilador Centrífugo (En Línea) 150mm","Ventilador para conductos.",120.00,"{""Tipo"": ""Ventilador"", ""Diseño"": ""Centrífugo"", ""Tamaño_mm"": 150, ""FlujoAire_m3/h"": 400}"
"AC000125","Conductos (Flexible Aislado) 150mm (10m)","Conducto flexible aislado.",30.00,"{""Tipo"": ""Conductos"", ""Material"": ""Flexible Aislado"", ""Diámetro_mm"": 150, ""Longitud_m"": 10}"
"AC000126","Conductos (Rígido Espiral) 200mm (3m)","Conducto rígido de acero galvanizado.",40.00,"{""Tipo"": ""Conductos"", ""Material"": ""Rígido Espiral"", ""Diámetro_mm"": 200, ""Longitud_m"": 3}"
"AC000127","Caja Filtro Aire (Montaje Conducto) 400x200","Caja para montar filtros de aire en conductos.",60.00,"{""Tipo"": ""Accesorio"", ""Aplicación"": ""Filtración Conducto"", ""TamañoFiltro_mm"": ""400x200""}"
