chat_id,order_id,client_id,start_timestamp,end_timestamp,topic
"CHAT1097","ORD0097",5,"2024-03-27 15:00:00","2024-03-27 15:20:00","Pedido Termo Bomba Calor ACS"
"CHAT1098","ORD0098",6,"2024-03-27 16:00:00","2024-03-27 16:15:00","Consulta Tubería PEX"
"CHAT1099","ORD0099",7,"2024-03-28 09:00:00","2024-03-28 09:20:00","Pedido Kit Montaje Solar Tejado"
"CHAT1100","ORD0100",8,"2024-03-28 10:00:00","2024-03-28 10:15:00","Consulta AC Ventana 8000"
"CHAT1101","ORD0101",9,"2024-03-28 11:00:00","2024-03-28 11:20:00","Información Caldera Pellets"
"CHAT1102","ORD0102",10,"2024-03-28 14:00:00","2024-03-28 14:10:00","Duda VREC"
"CHAT1104","ORD0104",12,"2024-03-28 15:00:00","2024-03-28 15:15:00","Consulta Panel Solar Flexible"
"CHAT1105","ORD0105",13,"2024-03-28 16:00:00","2024-03-28 16:20:00","Pedido Split 24000"
"CHAT1106","ORD0106",14,"2024-04-01 09:00:00","2024-04-01 09:08:00","Consulta Sensores Movimiento/Fuga"
"CHAT1107","ORD0107",15,"2024-04-01 10:00:00","2024-04-01 10:15:00","Consulta Esterilizador Aire"
"CHAT1108","ORD0108",16,"2024-04-01 11:00:00","2024-04-01 11:10:00","Duda Termos Eléctricos"
"CHAT1109","ORD0109",17,"2024-04-01 14:00:00","2024-04-01 14:20:00","Consulta Inversor Solar Trifásico"
"CHAT1111","ORD0111",19,"2024-04-01 15:00:00","2024-04-01 15:15:00","Pedido Radiadores"
"CHAT1112","ORD0112",20,"2024-04-01 16:00:00","2024-04-01 16:10:00","Duda Válvulas Antirretorno/Bola"
"CHAT1113","ORD0113",21,"2024-04-02 09:00:00","2024-04-02 09:15:00","Consulta Interruptores Solares"
"CHAT1114","ORD0114",22,"2024-04-02 10:00:00","2024-04-02 10:10:00","Consulta AC Portátil"
"CHAT1115","ORD0115",23,"2024-04-02 11:00:00","2024-04-02 11:20:00","Pedido Caldera Eléctrica y Vaso Expansión"
"CHAT1116","ORD0116",24,"2024-04-02 14:00:00","2024-04-02 14:15:00","Consulta Sensores Caudal/Flujo Aire"
"CHAT1117","ORD0117",25,"2024-04-02 15:00:00","2024-04-02 15:20:00","Pedido Tubería PEX y Racores"
"CHAT1118","ORD0118",26,"2024-04-02 16:00:00","2024-04-02 16:10:00","Consulta Calentador Gas Instantáneo"
"CHAT1119","ORD0119",27,"2024-04-03 09:00:00","2024-04-03 09:10:00","Duda Interruptores Solares"
"CHAT1120","ORD0120",28,"2024-04-03 10:00:00","2024-04-03 10:20:00","Pedido Unidades Interior Mini-Split"
